Original,Correction
剛纔,剛才
家總,加總
家走,加總
繪出,匯出
會出,匯出
叛毒,叛讀
諮行,執行
葉盤,夜盤
字行,字型
富臺,富台
富塔,富台
赴臺,富台
副臺,富台
熒幕,屏幕
銀木,屏幕
纔,才
纔會,才會
頭信,投信
頭屑,投信
頭訊,投信
途信,投信
提示此,提示詞
提示尺,提示詞
提示紙,提示詞
狼味,欄位
監控臺,監控台
分譯,翻譯
視瘡,視窗
四川,視窗
四窗,視窗
式窗,視窗
持庫,詞庫
直褲,詞庫
磁庫,詞庫
池庫,詞庫
喫過,詞庫
買賣操,買賣超
匯路,匯入
匯賂,匯入
匯錄,匯入
賄錄,匯入
銀幕,屏幕
