Original,Correction
上牀,上傳
分譯,翻譯
剛纔,剛才
副臺,富台
匯賂,匯入
匯路,匯入
匯錄,匯入
叛毒,叛讀
喫過,詞庫
四川,視窗
四窗,視窗
字行,字型
家總,加總
家走,加總
富塔,富台
富臺,富台
式窗,視窗
持庫,詞庫
提示尺,提示詞
提示此,提示詞
提示紙,提示詞
會出,匯出
池庫,詞庫
熒幕,屏幕
狼味,欄位
監控臺,監控台
直褲,詞庫
磁庫,詞庫
繪出,匯出
纔,才
纔會,才會
葉盤,夜盤
視瘡,視窗
諮行,執行
買賣操,買賣超
賄錄,匯入
赴臺,富台
途信,投信
銀幕,屏幕
銀木,屏幕
頭信,投信
頭屑,投信
頭訊,投信
